ร้อยเอ็ด,62342.25,76460.39,55976,117702,138771,187017.4,244163,149906.8,182395.82
กาฬสินธุ์,73431.56,65455.58,109921,144115,97711,154871.2,124724.5,131577.2,134001.77
สกลนคร,81139.61,75869.04,96367,113124,161441,138724.7,157855,164189.7,197077.86
นครพนม,121363.18,85536.78,85741,70049,92430,76337.8,90411,102816,192867.55
มุกดาหาร,66520.36,89131.55,132063,115677,129737,182410.8,123125.4,184066.9,171992.18
นครศรีธรรมราช,84791.2,104706.32,107541,104004,167985,89624.8,123677.8,164476.1,152743.44
กระบี่,105404.91,201625.17,156798,182167,219674,177494.6,168945.8,373325.2,289237.36
พังงา,22316.47,47684.21,87955,106855,56697,82727.7,123375.6,164166.6,131646.2
ภูเก็ต,135781.71,71470.88,72379,82362,80201,71828.9,91903.8,135375.9,239551.96
สุราษฎร์ธานี,112501.51,87112.78,125727,142231,188247,144725.2,198998.1,219064.9,240461.85
ระนอง,91400.04,81811.94,92274,157317,102741,161419.6,180868.7,106994.4,156195.34
ชุมพร,87802.28,90195.02,116327,127313,124643,130163.6,197458.5,199745.9,157728.32
สงขลา,75200.38,58635.91,174109,142526,115079,107471.9,161526,172272.1,174405.21
สตูล,56518.37,82045.7,69314,116896,183123,101355.4,155314.4,145458,166360.94
ตรัง,63839.17,193424.12,133375,178839,132883,154678.4,160207,131872.6,177206.64
พัทลุง,80866.8,89967.46,117631,129637,140417,169818.7,162248.7,206986.4,183717.82
ปัตตานี,46145.19,91797.66,82046,80120,82370,83776.5,109102.5,141540.1,137591.84
ยะลา,56566.35,54634.7,55672,56369,18901,60166.7,35828.9,22272.4,28437.84
นราธิวาส,34023.23,39297.09,57235,36368,26246,40942.5,44974.1,40566.9,60282.75
